[#FFFFFF] 2023/03/15 01:36:11 | [#008000] Current session log file was created!
#define FLIP_TEXTURES_Y 1


[#FFFFFF] 2023/03/15 01:36:20 | [#008000] defines: #define FRAGMENT
#define FLIP_TEXTURES_Y 1


[#FFFFFF] 2023/03/15 01:36:20 | [#008000] defines: #define VERTEX
#define FLIP_TEXTURES_Y 1


[#FFFFFF] 2023/03/15 01:36:20 | [#008000] defines: #define FRAGMENT
#define FLIP_TEXTURES_Y 1


[#FFFFFF] 2023/03/15 01:36:20 | [#008000] defines: #define VERTEX
#define FLIP_TEXTURES_Y 1


[#FFFFFF] 2023/03/15 01:36:20 | [#008000] defines: #define FRAGMENT
#define FLIP_TEXTURES_Y 1


[#FFFFFF] 2023/03/15 01:36:20 | [#008000] script path: Scripts\HoholMegaSuperComponent.class

[#FFFFFF] 2023/03/15 01:36:20 | [#008000] script path: Scripts\SpaceDeformationComponent.class

[#FFFFFF] 2023/03/15 01:36:20 | [#008000] defines: #define VERTEX
#define FLIP_TEXTURES_Y 1


[#FFFFFF] 2023/03/15 01:36:20 | [#008000] defines: #define FRAGMENT
#define FLIP_TEXTURES_Y 1


[#FFFFFF] 2023/03/15 01:36:20 | [#008000] defines: #define VERTEX
#define FLIP_TEXTURES_Y 1


[#FFFFFF] 2023/03/15 01:36:20 | [#008000] defines: #define FRAGMENT
#define FLIP_TEXTURES_Y 1


[#FFFFFF] 2023/03/15 01:36:20 | [#008000] script path: Scripts\PickableComponent.class

[#FFFFFF] 2023/03/15 01:36:20 | [#008000] defines: #define VERTEX
#define FLIP_TEXTURES_Y 1


[#FFFFFF] 2023/03/15 01:36:20 | [#008000] defines: #define FRAGMENT
#define FLIP_TEXTURES_Y 1


[#FFFFFF] 2023/03/15 01:36:20 | [#008000] defines: #define VERTEX
#define FLIP_TEXTURES_Y 1


[#FFFFFF] 2023/03/15 01:36:20 | [#008000] defines: #define FRAGMENT
#define FLIP_TEXTURES_Y 1


[#FFFFFF] 2023/03/15 01:36:21 | [#FF0000] File by path 'D:\Pixelfield\SungearEngine2D\Engine\Projects\new_kakish\SceneManager.sm' already exists

[#FFFFFF] 2023/03/15 01:36:24 | [#008000] defines: #define VERTEX
#define FLIP_TEXTURES_Y 1


[#FFFFFF] 2023/03/15 01:36:24 | [#008000] defines: #define FRAGMENT
#define FLIP_TEXTURES_Y 1


[#FFFFFF] 2023/03/15 01:36:24 | [#008000] defines: #define VERTEX
#define FLIP_TEXTURES_Y 1


[#FFFFFF] 2023/03/15 01:36:24 | [#008000] defines: #define FRAGMENT
#define FLIP_TEXTURES_Y 1


[#FFFFFF] 2023/03/15 01:36:24 | [#008000] defines: #define VERTEX
#define FLIP_TEXTURES_Y 1


[#FFFFFF] 2023/03/15 01:36:24 | [#008000] defines: #define FRAGMENT
#define FLIP_TEXTURES_Y 1


[#FFFFFF] 2023/03/15 01:36:24 | [#008000] defines: #define VERTEX
#define FLIP_TEXTURES_Y 1


[#FFFFFF] 2023/03/15 01:36:24 | [#008000] defines: #define FRAGMENT
#define FLIP_TEXTURES_Y 1


[#FFFFFF] 2023/03/15 01:36:24 | [#FF0000] java.util.ConcurrentModificationException
	at java.base/java.util.ArrayList$Itr.checkForComodification(ArrayList.java:1013)
	at java.base/java.util.ArrayList$Itr.next(ArrayList.java:967)
	at Core2D.ECS.ECSWorld.update(ECSWorld.java:142)
	at Core2D.Scene2D.SceneManager.updateCurrentScene2D(SceneManager.java:62)
	at Core2D.Graphics.Graphics.draw(Graphics.java:91)
	at Core2D.Core2D.Core2D.run(Core2D.java:117)
	at Core2D.Core2D.Core2D.create(Core2D.java:104)
	at Core2D.Core2D.Core2D.start(Core2D.java:55)
	at SungearEngine2D.Main.Main.main(Main.java:350)


[#FFFFFF] 2023/03/15 01:36:28 | [#FF0000] File by path 'D:\Pixelfield\SungearEngine2D\Engine\Projects\new_kakish\SceneManager.sm' already exists

